dominio_id,ambito_id,concetto_id,desc_id
d_11,a_18,c_435,d_11-a_18-c_435
d_6,a_9,c_419,d_6-a_9-c_419
d_6,a_9,c_259,d_6-a_9-c_259
d_6,a_35,c_259,d_6-a_35-c_259
d_4,a_4,c_304,d_4-a_4-c_304
d_6,a_16,c_304,d_6-a_16-c_304
d_11,a_22,c_144,d_11-a_22-c_144
d_6,a_17,c_136,d_6-a_17-c_136
d_11,a_22,c_143,d_11-a_22-c_143
d_6,a_35,c_238,d_6-a_35-c_238
d_4,a_4,c_371,d_4-a_4-c_371
d_11,a_30,c_151,d_11-a_30-c_151
d_6,a_17,c_137,d_6-a_17-c_137
d_1,a_7,c_437,d_1-a_7-c_437
d_12,a_29,c_312,d_12-a_29-c_312
d_6,a_33,c_217,d_6-a_33-c_217
d_11,a_22,c_589,d_11-a_22-c_589
d_12,a_29,c_305,d_12-a_29-c_305
d_8,a_23,c_332,d_8-a_23-c_332
d_7,a_10,c_44,d_7-a_10-c_44
d_7,a_10,c_43,d_7-a_10-c_43
d_1,a_1,c_188,d_1-a_1-c_188
d_1,a_8,c_188,d_1-a_8-c_188
d_4,a_4,c_188,d_4-a_4-c_188
d_2,a_2,c_178,d_2-a_2-c_178
d_6,a_17,c_224,d_6-a_17-c_224
d_7,a_10,c_173,d_7-a_10-c_173
d_12,a_29,c_322,d_12-a_29-c_322
d_6,a_9,c_620,d_6-a_9-c_620
d_9,a_12,c_156,d_9-a_12-c_156
d_10,a_20,c_78,d_10-a_20-c_78
d_5,a_14,c_571,d_5-a_14-c_571
d_10,a_19,c_69,d_10-a_19-c_69
d_6,a_35,c_551,d_6-a_35-c_551
d_6,a_9,c_264,d_6-a_9-c_264
d_8,a_11,c_26,d_8-a_11-c_26
d_6,a_32,c_253,d_6-a_32-c_253
d_6,a_32,c_561,d_6-a_32-c_561
d_1,a_1,c_230,d_1-a_1-c_230
d_1,a_8,c_230,d_1-a_8-c_230
d_10,a_19,c_64,d_10-a_19-c_64
d_6,a_32,c_509,d_6-a_32-c_509
d_6,a_32,c_508,d_6-a_32-c_508
d_6,a_32,c_518,d_6-a_32-c_518
d_6,a_32,c_559,d_6-a_32-c_559
d_3,a_24,c_446,d_3-a_24-c_446
d_3,a_13,c_468,d_3-a_13-c_468
d_2,a_2,c_177,d_2-a_2-c_177
d_5,a_6,c_48,d_5-a_6-c_48
d_6,a_32,c_249,d_6-a_32-c_249
d_6,a_32,c_510,d_6-a_32-c_510
d_6,a_32,c_516,d_6-a_32-c_516
d_6,a_32,c_514,d_6-a_32-c_514
d_6,a_33,c_207,d_6-a_33-c_207
d_6,a_17,c_434,d_6-a_17-c_434
d_9,a_12,c_582,d_9-a_12-c_582
d_9,a_12,c_101,d_9-a_12-c_101
d_6,a_17,c_132,d_6-a_17-c_132
d_3,a_13,c_342,d_3-a_13-c_342
d_10,a_20,c_79,d_10-a_20-c_79
d_11,a_18,c_294,d_11-a_18-c_294
d_9,a_12,c_33,d_9-a_12-c_33
d_7,a_10,c_53,d_7-a_10-c_53
d_10,a_20,c_80,d_10-a_20-c_80
d_6,a_35,c_243,d_6-a_35-c_243
d_10,a_20,c_81,d_10-a_20-c_81
d_3,a_24,c_447,d_3-a_24-c_447
d_3,a_24,c_453,d_3-a_24-c_453
d_9,a_12,c_568,d_9-a_12-c_568
d_4,a_4,c_50,d_4-a_4-c_50
d_10,a_37,c_383,d_10-a_37-c_383
d_10,a_37,c_283,d_10-a_37-c_283
d_6,a_33,c_215,d_6-a_33-c_215
